0.001849339 127.0.0.1:6633 127.0.0.1:60872 140 0x54fa5ce8 0x54fa5ce8 10 2147483647 44032 4 45056
5.082639643 10.0.0.2:45470 10.0.0.3:5001 32 0xae705dae 0xae7019ce 12 2147483647 34816 7 29696
5.086560690 10.0.0.3:5001 10.0.0.2:45470 2928 0xaca39cb5 0xaca39cb5 10 2147483647 29696 7 40960
5.099511936 10.0.0.2:45470 10.0.0.3:5001 32 0xae70744e 0xae70251e 14 2147483647 40960 8 29696
5.103501146 10.0.0.3:5001 10.0.0.2:45470 2928 0xaca39cb5 0xaca39cb5 10 2147483647 29696 7 46592
5.116229186 10.0.0.2:45470 10.0.0.3:5001 32 0xae708aee 0xae70306e 16 2147483647 46592 8 29696
5.119010459 10.0.0.3:5001 10.0.0.2:45470 2928 0xaca39cb5 0xaca39cb5 10 2147483647 29696 7 52224
5.131364720 10.0.0.2:45470 10.0.0.3:5001 32 0xae70a18e 0xae703bbe 18 2147483647 52224 9 29696
5.135237159 10.0.0.3:5001 10.0.0.2:45470 2928 0xaca39cb5 0xaca39cb5 10 2147483647 29696 7 58368
5.149269235 10.0.0.2:45470 10.0.0.3:5001 32 0xae70b82e 0xae70470e 20 2147483647 58368 11 29696
5.151252946 10.0.0.3:5001 10.0.0.2:45470 2928 0xaca39cb5 0xaca39cb5 10 2147483647 29696 7 64000
5.163965062 10.0.0.2:45470 10.0.0.3:5001 32 0xae70cece 0xae70525e 22 2147483647 64000 12 29696
5.167348348 10.0.0.3:5001 10.0.0.2:45470 2928 0xaca39cb5 0xaca39cb5 10 2147483647 29696 7 69632
5.180114380 10.0.0.2:45470 10.0.0.3:5001 32 0xae70e56e 0xae705dae 24 2147483647 69632 13 29696
5.183679528 10.0.0.3:5001 10.0.0.2:45470 2928 0xaca39cb5 0xaca39cb5 10 2147483647 29696 7 75776
5.196472378 10.0.0.2:45470 10.0.0.3:5001 32 0xae70fc0e 0xae7068fe 26 2147483647 75776 14 29696
5.199821583 10.0.0.3:5001 10.0.0.2:45470 2928 0xaca39cb5 0xaca39cb5 10 2147483647 29696 7 81408
5.212661924 10.0.0.2:45470 10.0.0.3:5001 32 0xae7112ae 0xae70744e 28 2147483647 81408 16 29696
5.215976209 10.0.0.3:5001 10.0.0.2:45470 2928 0xaca39cb5 0xaca39cb5 10 2147483647 29696 7 87040
5.228840296 10.0.0.2:45470 10.0.0.3:5001 32 0xae71294e 0xae707f9e 30 2147483647 87040 18 29696
5.232007360 10.0.0.3:5001 10.0.0.2:45470 2928 0xaca39cb5 0xaca39cb5 10 2147483647 29696 7 92672
5.244548510 10.0.0.2:45470 10.0.0.3:5001 32 0xae713fee 0xae708aee 32 2147483647 92672 19 29696
5.249616037 10.0.0.3:5001 10.0.0.2:45470 2928 0xaca39cb5 0xaca39cb5 10 2147483647 29696 7 98816
5.263203936 10.0.0.2:45470 10.0.0.3:5001 32 0xae71568e 0xae70963e 34 2147483647 98816 21 29696
5.264491769 10.0.0.3:5001 10.0.0.2:45470 2928 0xaca39cb5 0xaca39cb5 10 2147483647 29696 7 104448
5.278570218 10.0.0.2:45470 10.0.0.3:5001 32 0xae716d2e 0xae70a18e 36 2147483647 104448 23 29696
5.280661760 10.0.0.3:5001 10.0.0.2:45470 2928 0xaca39cb5 0xaca39cb5 10 2147483647 29696 7 110080
5.293610491 10.0.0.2:45470 10.0.0.3:5001 32 0xae7183ce 0xae70acde 38 2147483647 110080 25 29696
5.296471939 10.0.0.3:5001 10.0.0.2:45470 2928 0xaca39cb5 0xaca39cb5 10 2147483647 29696 7 116224
5.310101742 10.0.0.2:45470 10.0.0.3:5001 32 0xae719a6e 0xae70b82e 40 2147483647 116224 27 29696
5.312927991 10.0.0.3:5001 10.0.0.2:45470 2928 0xaca39cb5 0xaca39cb5 10 2147483647 29696 7 121856
5.325734251 10.0.0.2:45470 10.0.0.3:5001 32 0xae71b10e 0xae70c37e 42 2147483647 121856 28 29696
5.329170894 10.0.0.3:5001 10.0.0.2:45470 2928 0xaca39cb5 0xaca39cb5 10 2147483647 29696 7 127488
5.341727968 10.0.0.2:45470 10.0.0.3:5001 32 0xae71c7ae 0xae70cece 44 2147483647 127488 31 29696
5.344962636 10.0.0.3:5001 10.0.0.2:45470 2928 0xaca39cb5 0xaca39cb5 10 2147483647 29696 7 133632
5.358127031 10.0.0.2:45470 10.0.0.3:5001 32 0xae71de4e 0xae70da1e 46 2147483647 133632 32 29696
5.361599153 10.0.0.3:5001 10.0.0.2:45470 2928 0xaca39cb5 0xaca39cb5 10 2147483647 29696 7 139264
5.375519206 10.0.0.2:45470 10.0.0.3:5001 32 0xae71f4ee 0xae70e56e 48 2147483647 139264 34 29696
5.377240601 10.0.0.3:5001 10.0.0.2:45470 2928 0xaca39cb5 0xaca39cb5 10 2147483647 29696 7 144896
5.389918077 10.0.0.2:45470 10.0.0.3:5001 32 0xae720b8e 0xae70f0be 50 2147483647 144896 36 29696
5.393696932 10.0.0.3:5001 10.0.0.2:45470 2928 0xaca39cb5 0xaca39cb5 10 2147483647 29696 7 151040
5.407180072 10.0.0.2:45470 10.0.0.3:5001 32 0xae72222e 0xae70fc0e 52 2147483647 151040 38 29696
5.409692325 10.0.0.3:5001 10.0.0.2:45470 2928 0xaca39cb5 0xaca39cb5 10 2147483647 29696 7 156672
5.422867056 10.0.0.2:45470 10.0.0.3:5001 32 0xae7238ce 0xae71075e 54 2147483647 156672 40 29696
5.426723013 10.0.0.3:5001 10.0.0.2:45470 2928 0xaca39cb5 0xaca39cb5 10 2147483647 29696 7 162304
